episode,vanilla,mean_baseline,critic,rloo
534,192.0,500.0,500.0,217.0
535,180.0,175.0,500.0,500.0
536,234.0,336.0,500.0,500.0
537,151.0,203.0,500.0,500.0
538,149.0,124.0,500.0,500.0
539,201.0,500.0,366.0,500.0
540,225.0,496.0,500.0,500.0
541,196.0,500.0,500.0,263.0
542,238.0,500.0,383.0,500.0
543,126.0,366.0,500.0,500.0
544,144.0,439.0,500.0,449.0
545,194.0,202.0,500.0,500.0
546,252.0,500.0,500.0,500.0
547,271.0,500.0,427.0,128.0
548,161.0,436.0,442.0,221.0
549,139.0,396.0,500.0,500.0
550,178.0,230.0,500.0,403.0
551,128.0,483.0,500.0,500.0
552,154.0,230.0,500.0,391.0
553,121.0,373.0,500.0,400.0
554,216.0,500.0,500.0,500.0
555,138.0,285.0,500.0,500.0
556,149.0,307.0,500.0,500.0
557,140.0,169.0,500.0,301.0
558,149.0,500.0,500.0,394.0
559,182.0,500.0,500.0,340.0
560,154.0,500.0,500.0,353.0
561,182.0,306.0,500.0,500.0
562,157.0,500.0,500.0,419.0
563,216.0,500.0,500.0,367.0
564,151.0,369.0,500.0,225.0
565,145.0,225.0,500.0,291.0
566,177.0,148.0,500.0,409.0
567,141.0,269.0,500.0,500.0
568,168.0,500.0,500.0,235.0
569,167.0,445.0,500.0,340.0
570,172.0,379.0,500.0,225.0
571,134.0,500.0,500.0,136.0
572,170.0,468.0,500.0,496.0
573,190.0,183.0,500.0,402.0
574,234.0,500.0,500.0,413.0
575,374.0,500.0,500.0,468.0
576,271.0,174.0,500.0,500.0
577,226.0,446.0,500.0,482.0
578,247.0,180.0,500.0,500.0
579,244.0,255.0,500.0,500.0
580,241.0,500.0,500.0,500.0
581,288.0,500.0,500.0,500.0
582,160.0,139.0,500.0,313.0
583,218.0,500.0,500.0,500.0
584,228.0,500.0,500.0,500.0
585,237.0,500.0,500.0,500.0
586,209.0,191.0,500.0,355.0
587,355.0,413.0,500.0,388.0
588,348.0,385.0,500.0,500.0
589,269.0,328.0,500.0,269.0
590,500.0,254.0,500.0,500.0
591,373.0,500.0,500.0,313.0
592,379.0,500.0,500.0,500.0
593,198.0,352.0,500.0,500.0
594,500.0,162.0,500.0,383.0
595,436.0,138.0,500.0,500.0
596,314.0,321.0,500.0,500.0
597,500.0,154.0,500.0,500.0
598,500.0,325.0,500.0,500.0
599,307.0,438.0,500.0,419.0
600,500.0,163.0,500.0,500.0
601,500.0,353.0,500.0,500.0
602,500.0,380.0,500.0,232.0
603,500.0,311.0,500.0,436.0
604,476.0,500.0,500.0,500.0
605,500.0,306.0,500.0,313.0
606,500.0,281.0,500.0,500.0
607,500.0,294.0,500.0,500.0
608,356.0,500.0,500.0,500.0
609,500.0,351.0,500.0,500.0
610,278.0,448.0,492.0,500.0
611,500.0,500.0,500.0,500.0
612,500.0,112.0,500.0,500.0
613,500.0,500.0,500.0,500.0
614,500.0,367.0,500.0,500.0
615,500.0,490.0,500.0,89.0
616,295.0,500.0,500.0,498.0
617,500.0,476.0,500.0,500.0
618,500.0,341.0,500.0,315.0
619,500.0,448.0,500.0,500.0
620,500.0,350.0,500.0,500.0
621,500.0,430.0,500.0,500.0
622,500.0,278.0,500.0,500.0
623,286.0,305.0,500.0,500.0
624,284.0,178.0,500.0,500.0
625,305.0,500.0,500.0,230.0
626,300.0,500.0,500.0,491.0
627,500.0,500.0,500.0,498.0
628,312.0,500.0,500.0,223.0
629,500.0,256.0,500.0,354.0
630,500.0,313.0,500.0,453.0
631,500.0,302.0,500.0,391.0
632,500.0,151.0,500.0,500.0
633,500.0,427.0,500.0,291.0
634,500.0,500.0,500.0,201.0
635,500.0,359.0,500.0,500.0
636,127.0,500.0,239.0,500.0
637,500.0,500.0,500.0,459.0
638,500.0,500.0,500.0,500.0
639,500.0,473.0,500.0,500.0
640,500.0,500.0,500.0,500.0
641,437.0,500.0,500.0,500.0
642,500.0,500.0,500.0,444.0
643,344.0,500.0,500.0,444.0
644,294.0,500.0,500.0,500.0
645,357.0,500.0,500.0,500.0
646,329.0,500.0,500.0,500.0
647,277.0,312.0,500.0,500.0
648,266.0,500.0,500.0,500.0
649,255.0,375.0,500.0,500.0
650,223.0,200.0,500.0,350.0
651,262.0,437.0,500.0,303.0
652,226.0,121.0,500.0,436.0
653,245.0,255.0,500.0,408.0
654,265.0,500.0,500.0,292.0
